X,Y
11679316.7782772,1297151.87917905
11679401.5035417,1297164.5602444
11679395.6926642,1297203.78522046
11679372.7051894,1297358.89024936
11679366.7718605,1297361.40147986
11679357.053669,1297360.09473093
11679333.3982772,1297356.6744579
11679301.0043054,1297351.99288877
11679287.3342719,1297350.01572143
11679297.5534012,1297281.25809927
11679304.4997374,1297234.82889168
11679313.0379423,1297176.76407012
11679314.0064219,1297170.7189715
11679315.8320616,1297157.71974078
11679316.7782772,1297151.87917905
