X,Y
11678235.9773411,1298361.93240852
11678254.3784529,1298361.2392416
11678862.2941922,1298533.88372465
11678829.3324909,1298752.9150503
11679190.8536692,1298810.15321302
11679178.3190946,1298903.85720579
11679211.1583444,1298914.33443391
11679598.628096,1298973.33424727
11679856.9561063,1299033.52735165
11679966.539013,1298714.460881
11680320.2455631,1298097.72327536
11680599.6352211,1297701.15802424
11680907.0105991,1297207.46682556
11681167.6651867,1296626.7443418
11681310.9556353,1296382.3093328
11681661.5341077,1295951.17791452
11681777.8741075,1295791.55748541
11681816.0900887,1295660.18483706
11681822.7581262,1295544.8905024
11681810.7912809,1295433.72111661
11681807.8747102,1295408.98529933
11681805.2698342,1295355.09378052
11681388.8904108,1295346.61749259
11681291.2075576,1295342.11801627
11681269.3332777,1295330.46028512
11681228.7461913,1295322.06353989
11681188.5598552,1295321.7113084
11681124.8851064,1295348.10595586
11680933.9721797,1295367.34236144
11680890.0789045,1295367.45598466
11680625.1051206,1295345.96984065
11680591.5311621,1295343.68601552
11680563.1669559,1295351.25331734
11680532.9993739,1295350.73065079
11680508.8319124,1295338.43662702
11680489.0949667,1295322.22261217
11680326.7466213,1295278.65956061
11680275.662107,1295192.78348487
11679951.7557847,1295184.36405144
11679679.3903865,1295177.04675887
11679625.7009961,1295549.17412203
11679495.4683238,1296407.47768901
11679470.510494,1296568.60109134
11679450.617701,1296700.80697501
11679417.5892081,1296928.49554282
11679380.0300119,1296946.36935758
11678590.5744471,1296831.84303519
11678090.6497459,1296782.22152918
11677916.7019096,1296764.72277979
11677871.8624187,1297101.97310007
11677930.7838252,1297109.12039118
11677927.7336711,1297127.73289927
11677867.7547295,1297308.42705763
11677851.2683129,1297390.1272438
11677872.4858078,1297548.062594
11677920.8207307,1297708.47589747
11678235.9773411,1298361.93240852
