X,Y
11678090.6497459,1296782.22152918
11677916.7019096,1296764.72277979
11677871.8624187,1297101.97310007
11677930.7838252,1297109.12039118
11677927.7336711,1297127.73289927
11677867.7547295,1297308.42705763
11677851.2683129,1297390.1272438
11677872.4858078,1297548.062594
11677920.8207307,1297708.47589747
11678235.9773411,1298361.93240852
11677490.7824058,1298621.93924955
11677471.3237589,1298673.27951728
11677358.2008923,1298830.81215831
11677148.9759094,1299170.02759891
11677026.9029558,1299090.52738353
11676678.4618176,1298858.94834525
11676602.731168,1298804.01689522
11676458.2829968,1298699.26786063
11676169.442314,1298476.70287704
11676099.1106597,1298381.72744389
11676054.90569,1298298.33156607
11676101.7044039,1297126.53978945
11676110.632227,1296964.47044023
11676156.8520796,1296406.45504661
11676174.0175451,1296299.20276663
11676393.7176921,1295836.6438125
11676294.4095744,1295727.92769699
11676156.9077394,1295594.79413871
11676072.9505794,1295469.53525084
11676044.3414703,1295410.41695383
11675984.7744108,1295226.55213904
11675983.9172507,1295208.03164123
11676020.9977731,1294940.12191507
11676104.086641,1294776.43891913
11676177.8691995,1294672.90752928
11676265.1436803,1294603.31489983
11676412.6197417,1294523.25799939
11676465.7080068,1294519.9743755
11676886.3509667,1294535.32446796
11676942.3558025,1294521.951367
11676997.5368741,1294470.70869569
11677044.6584145,1294412.36486761
11677067.8796603,1294392.18599497
11677089.5535652,1294385.83465201
11677114.2776241,1294393.85620523
11677141.8625939,1294401.68460685
11677173.8112878,1294403.7752108
11677207.6969408,1294397.28752181
11677242.5844692,1294385.89146187
11677371.815266,1294511.83917035
11677514.7160964,1294645.60447629
11678283.0432218,1295405.21300367
11678170.7663834,1296009.94497689
11678168.9741396,1296028.02280155
11678090.6497459,1296782.22152918
