X,Y
11675976.0135668,1295368.85355032
11675973.8873646,1295369.37621717
11675959.1152681,1295373.01216069
11675920.4762729,1295382.49970279
11675918.6395013,1295382.95419589
11675916.6246185,1295374.77332099
11675899.2142501,1295377.14804696
11675900.6614035,1295389.29437539
11675884.7427163,1295391.07826125
11675885.8225154,1295421.18845162
11675907.7301912,1295419.21140428
11675907.3628369,1295415.04142554
11675925.5635736,1295412.48489932
11675985.0081817,1295394.39606196
11675976.0135668,1295368.85355032
