X,Y
11680670.3230977,1298784.65341128
11680727.4856563,1298936.58435065
11680868.1489648,1298888.86863925
11680865.1210747,1298856.3915421
11680878.9135596,1298823.25539184
11680823.955127,1298800.36919576
11680796.0918584,1298788.24429122
11680838.2151537,1298763.51722751
11680937.9685494,1298808.31231755
11680952.6070625,1298776.92620268
11680857.607009,1298736.81292941
11680873.6704116,1298712.16545038
11680896.090157,1298669.55228832
11680833.4395476,1298642.51852796
11680826.2817043,1298656.02972351
11680804.3295007,1298641.72308348
11680777.3011284,1298692.44975362
11680731.5042899,1298666.04096631
11680703.8191325,1298718.47220322
11680691.5294607,1298743.52877418
11680686.8317782,1298752.64232553
11680676.0449196,1298773.55123128
11680670.3230977,1298784.65341128
